Dataset Name,Image File,Image Name
Figure04,MoNoc.Cell06.Position_0.stack_0.iRFP.Cam_Right_00005.tif,MoNoc.Cell06.pattern
SupplementaryFigure08,MoNoc.Monastrol.Embryo2.EGFP.Cam_Right_00041.tif,MoNoc.Monastrol.Embryo2.pattern
SupplementaryFigure05,Prometaphase1.Cam_Right_00000 (25)-Enhancement Filter_T019_Z001_C01.tif,Prometaphase1.pattern
SupplementaryFigure08,MoNoc.Monastrol.Embryo3.mCherry.Cam_Right_00046.tif,MoNoc.Monastrol.Embryo3.pattern
Figure02,Embryo11.iRFP.Cam_Right_00059.tif,Embryo11.pattern
SupplementaryFigure08,MoNoc.Washout.Embryo1.EGFP.Cam_Right_00065.tif,MoNoc.Washout.Embryo1.pattern
Figure02,Embryo01.EGFP.Cam_Right_00310.tif,Embryo01.pattern
Figure02,Embryo11.iRFP.Cam_Right_00012.tif,Embryo11.pattern
Figure01A,Embryo9.mCherry.Cam_Right_00035.tif,Embryo9.pattern
Figure02,Embryo03.mCherry.Cam_Right_00233.tif,Embryo03.pattern
Figure03,Embryo04.Position_0.stack_0.EGFP.Cam_Right_00057.tif,Embryo04.pattern
Figure03,Embryo05.Position_0.stack_0.mCherry.Cam_Right_00053.tif,Embryo05.pattern
SupplementaryFigure08,NocMo.Washout.Embryo1.mCherry.Cam_Right_00100.tif,NocMo.Washout.Embryo1.pattern
Figure01A,Embryo2.mCherry.Cam_Right_00224.tif,Embryo2.pattern
SupplementaryFigure05,Metaphase3.Cam_Right_00000 (5)-Enhancement Filter_T029_Z001_C01.tif,Metaphase3.pattern
SupplementaryFigure08,NocMo.Nocodazole.Embryo3.iRFP.Cam_Right_00055.tif,NocMo.Nocodazole.Embryo3.pattern
Figure01A,Embryo7.mCherry.Cam_Right_00216.tif,Embryo7.pattern
SupplementaryFigure08,NocMo.Washout.Embryo3.EGFP.Cam_Right_00065.tif,NocMo.Washout.Embryo3.pattern
Figure02,Embryo04.iRFP.Cam_Right_00269.tif,Embryo04.pattern
