Dataset Name,Image Name,Characteristics [Organism],Term Source 1 REF,Term Source 1 Accession,Characteristics [Development stage],Term Source 2 REF,Term Source 2 Accession,Source Name,Experimental Condition,Comment [Image File Path],Comment [Image File Type],Channels
Figure01A,Embryo1.pattern,Mus musculus,NCBITaxon,10090,Zygote,UBERON,0000106,Embryo1,,Reichman-2018/Figure01A,raw,Cep192;EB3
Figure01A,Embryo10.pattern,Mus musculus,NCBITaxon,10090,Zygote,UBERON,0000106,Embryo10,,Reichman-2018/Figure01A,raw,Cep192;EB3
Figure01A,Embryo11.pattern,Mus musculus,NCBITaxon,10090,Zygote,UBERON,0000106,Embryo11,,Reichman-2018/Figure01A,raw,Cep192;EB3
Figure01A,Embryo12.pattern,Mus musculus,NCBITaxon,10090,Zygote,UBERON,0000106,Embryo12,,Reichman-2018/Figure01A,raw,Cep192;EB3
Figure01A,Embryo13.pattern,Mus musculus,NCBITaxon,10090,Zygote,UBERON,0000106,Embryo13,,Reichman-2018/Figure01A,raw,Cep192;EB3
Figure01A,Embryo2.pattern,Mus musculus,NCBITaxon,10090,Zygote,UBERON,0000106,Embryo2,,Reichman-2018/Figure01A,raw,Cep192;EB3
Figure01A,Embryo3.pattern,Mus musculus,NCBITaxon,10090,Zygote,UBERON,0000106,Embryo3,,Reichman-2018/Figure01A,raw,Cep192;EB3
Figure01A,Embryo4.pattern,Mus musculus,NCBITaxon,10090,Zygote,UBERON,0000106,Embryo4,,Reichman-2018/Figure01A,raw,Cep192;EB3
Figure01A,Embryo5.pattern,Mus musculus,NCBITaxon,10090,Zygote,UBERON,0000106,Embryo5,,Reichman-2018/Figure01A,raw,Cep192;EB3
Figure01A,Embryo6.pattern,Mus musculus,NCBITaxon,10090,Zygote,UBERON,0000106,Embryo6,,Reichman-2018/Figure01A,raw,Cep192;EB3
Figure01A,Embryo7.pattern,Mus musculus,NCBITaxon,10090,Zygote,UBERON,0000106,Embryo7,,Reichman-2018/Figure01A,raw,Cep192;EB3
Figure01A,Embryo8.pattern,Mus musculus,NCBITaxon,10090,Zygote,UBERON,0000106,Embryo8,,Reichman-2018/Figure01A,raw,Cep192;EB3
Figure01A,Embryo9.pattern,Mus musculus,NCBITaxon,10090,Zygote,UBERON,0000106,Embryo9,,Reichman-2018/Figure01A,raw,Cep192;EB3
Figure01C,Metaphase1.lif,Mus musculus,NCBITaxon,10090,Zygote,UBERON,0000106,Metaphase1,metaphase,Reichman-2018/Figure01C,raw,crest; pericentrin; tubulin; DNA
Figure01C,Metaphase2.lif,Mus musculus,NCBITaxon,10090,Zygote,UBERON,0000106,Metaphase2,metaphase,Reichman-2018/Figure01C,raw,crest; pericentrin; tubulin; DNA
Figure01C,Metaphase3.lif [Series003],Mus musculus,NCBITaxon,10090,Zygote,UBERON,0000106,Metaphase3,metaphase,Reichman-2018/Figure01C,raw,crest; pericentrin; tubulin; DNA
Figure01C,Metaphase3.lif [Series006],Mus musculus,NCBITaxon,10090,Zygote,UBERON,0000106,Metaphase3,metaphase,Reichman-2018/Figure01C,raw,crest; pericentrin; tubulin; DNA
Figure01C,MicrotubuleBallStage1.lif,Mus musculus,NCBITaxon,10090,Zygote,UBERON,0000106,MicrotubuleBallStage1,microtubule ball stage,Reichman-2018/Figure01C,raw,crest; pericentrin; tubulin; DNA
Figure01C,MicrotubuleBallStage2.lif,Mus musculus,NCBITaxon,10090,Zygote,UBERON,0000106,MicrotubuleBallStage2,microtubule ball stage,Reichman-2018/Figure01C,raw,crest; pericentrin; tubulin; DNA
Figure01C,MicrotubuleBallStage3.lif,Mus musculus,NCBITaxon,10090,Zygote,UBERON,0000106,MicrotubuleBallStage3,microtubule ball stage,Reichman-2018/Figure01C,raw,crest; pericentrin; tubulin; DNA
Figure01C,MicrotubuleBallStage4.lif [Series003],Mus musculus,NCBITaxon,10090,Zygote,UBERON,0000106,MicrotubuleBallStage4,microtubule ball stage,Reichman-2018/Figure01C,raw,crest; pericentrin; tubulin; DNA
Figure01C,MicrotubuleBallStage4.lif [Series006],Mus musculus,NCBITaxon,10090,Zygote,UBERON,0000106,MicrotubuleBallStage4,microtubule ball stage,Reichman-2018/Figure01C,raw,crest; pericentrin; tubulin; DNA
Figure01C,Prometaphase1.lif,Mus musculus,NCBITaxon,10090,Zygote,UBERON,0000106,Prometaphase1,prometaphase,Reichman-2018/Figure01C,raw,crest; pericentrin; tubulin; DNA
Figure01C,Prometaphase3.lif [Preview002],Mus musculus,NCBITaxon,10090,Zygote,UBERON,0000106,Prometaphase3,prometaphase,Reichman-2018/Figure01C,raw,crest; pericentrin; tubulin; DNA
Figure01C, Prometaphase3.lif [Series001],Mus musculus,NCBITaxon,10090,Zygote,UBERON,0000106,Prometaphase3,prometaphase,Reichman-2018/Figure01C,raw,crest; pericentrin; tubulin; DNA
Figure01C,Prometaphase4.lif,Mus musculus,NCBITaxon,10090,Zygote,UBERON,0000106,Prometaphase4,prometaphase,Reichman-2018/Figure01C,raw,crest; pericentrin; tubulin; DNA
Figure01D,PM1.tif,Mus musculus,NCBITaxon,10090,Zygote,UBERON,0000106,PM1,prometaphase,Reichman-2018/Figure01D,raw,tubulin; crest; DNA; pericentrin
Figure01D,PM10.tif,Mus musculus,NCBITaxon,10090,Zygote,UBERON,0000106,PM10,prometaphase,Reichman-2018/Figure01D,raw,tubulin; crest; DNA; pericentrin
Figure01D,PM11.tif,Mus musculus,NCBITaxon,10090,Zygote,UBERON,0000106,PM11,prometaphase,Reichman-2018/Figure01D,raw,tubulin; crest; DNA; pericentrin
Figure01D,PM12.tif,Mus musculus,NCBITaxon,10090,Zygote,UBERON,0000106,PM12,prometaphase,Reichman-2018/Figure01D,raw,tubulin; crest; DNA; pericentrin
Figure01D,PM13.tif,Mus musculus,NCBITaxon,10090,Zygote,UBERON,0000106,PM13,prometaphase,Reichman-2018/Figure01D,raw,tubulin; crest; DNA; pericentrin
